"\"level\""	"\"Overall\""	"\"0\""	"\"1\""	"\"SMD\""
""	"70,064"	"67,068"	"2,996"	""
"illicit"	"46048 (65.7)"	"44794 (66.8)"	"1254 (41.9)"	"0.517"
"licit"	"24016 (34.3)"	"22274 (33.2)"	"1742 (58.1)"	""
"18-29"	"24341 (34.7)"	"23896 (35.6)"	"445 (14.9)"	"0.657"
"30-44"	"31485 (44.9)"	"30287 (45.2)"	"1198 (40.0)"	""
"45-59"	"13098 (18.7)"	"11895 (17.7)"	"1203 (40.2)"	""
"60-64"	"1140 (1.6)"	"990 (1.5)"	"150 (5.0)"	""
"0"	"61539 (87.8)"	"59051 (88.0)"	"2488 (83.0)"	"0.143"
"1"	"8525 (12.2)"	"8017 (12.0)"	"508 (17.0)"	""
"Male"	"53331 (76.1)"	"50935 (75.9)"	"2396 (80.0)"	"0.097"
"Female"	"16733 (23.9)"	"16133 (24.1)"	"600 (20.0)"	""
"Hazardous consumption"	"20248 (28.9)"	"19545 (29.1)"	"703 (23.5)"	"0.129"
"Drug dependence"	"49816 (71.1)"	"47523 (70.9)"	"2293 (76.5)"	""
"1.North"	"7988 (11.4)"	"7695 (11.5)"	"293 (9.8)"	"0.139"
"2.Center"	"7310 (10.4)"	"7085 (10.6)"	"225 (7.5)"	""
"3.South-center"	"11943 (17.0)"	"11433 (17.0)"	"510 (17.0)"	""
"4.South"	"3332 (4.8)"	"3167 (4.7)"	"165 (5.5)"	""
"5.Austral"	"782 (1.1)"	"730 (1.1)"	"52 (1.7)"	""
"Metropolitan"	"38709 (55.2)"	"36958 (55.1)"	"1751 (58.4)"	""
"Completed"	"19185 (27.4)"	"18514 (27.6)"	"671 (22.4)"	"0.120"
"Not completed"	"50879 (72.6)"	"48554 (72.4)"	"2325 (77.6)"	""
""	"34.12 [27.43, 42.86]"	"33.81 [27.27, 42.35]"	"43.41 [34.32, 51.16]"	"0.698"
""	"165.00 [92.00, 290.00]"	"166.00 [92.00, 290.00]"	"156.00 [91.00, 288.00]"	"0.020"
""	"39.00 [33.00, 48.00]"	"39.00 [33.00, 48.00]"	"47.00 [38.00, 54.00]"	"0.521"
""	"1,980.99 [1,972.24, 1,987.71]"	"1,981.34 [1,972.76, 1,987.93]"	"1,970.72 [1,963.02, 1,979.52]"	"0.826"
""	"2,015.32 [2,013.08, 2,017.50]"	"2,015.39 [2,013.15, 2,017.55]"	"2,013.82 [2,012.02, 2,015.66]"	"0.507"
""	"2,015.93 [2,013.66, 2,018.08]"	"2,016.01 [2,013.73, 2,018.16]"	"2,014.42 [2,012.50, 2,016.34]"	"0.507"
"18-29"	"22977 (32.8)"	"22566 (33.6)"	"411 (13.7)"	"0.653"
"30-44"	"31881 (45.5)"	"30699 (45.8)"	"1182 (39.5)"	""
"45-59"	"13739 (19.6)"	"12526 (18.7)"	"1213 (40.5)"	""
"60+"	"1467 (2.1)"	"1277 (1.9)"	"190 (6.3)"	""
""	"34.66 [27.94, 43.50]"	"34.35 [27.77, 43.01]"	"43.99 [34.72, 51.81]"	"0.691"
